userid,No.,plottype,userinput,act_percent,accuracy
172752204,1,Horizontal Bar Chart,60.0,55.1,2.3
172752204,2,Tree Chart,55.0,67.4,3.6
172752204,3,Horizontal Bar Chart,50.0,51.6,0.8
172752204,4,Tree Chart,6.0,2.7,1.8
172752204,5,Pie Chart,50.0,51.9,1.0
172752204,6,Tree Chart,50.0,61.5,3.5
172752204,7,Pie Chart,25.0,29.9,2.3
172752204,8,Pie Chart,25.0,25.9,0.1
172752204,9,Pie Chart,90.0,79.6,3.4
172752204,10,Pie Chart,30.0,26.6,1.8
172752204,11,Tree Chart,60.0,64.1,2.1
172752204,12,Tree Chart,20.0,21.1,0.2
172752204,13,Tree Chart,70.0,68.9,0.3
172752204,14,Horizontal Bar Chart,50.0,57.1,2.9
172752204,15,Tree Chart,70.0,77.8,3.0
172752204,16,Tree Chart,5.0,5.7,0.0
172752204,17,Pie Chart,8.0,6.3,0.9
172752204,18,Tree Chart,25.0,37.9,3.7
172752204,19,Tree Chart,40.0,47.3,2.9
172752204,20,Horizontal Bar Chart,20.0,20.0,0.0
172752204,21,Horizontal Bar Chart,20.0,17.4,1.5
172752204,22,Horizontal Bar Chart,25.0,20.9,2.1
172752204,23,Pie Chart,100.0,82.4,4.2
172752204,24,Horizontal Bar Chart,50.0,42.1,3.0
172752204,25,Tree Chart,4.0,10.6,2.8
172752204,26,Tree Chart,15.0,20.0,2.4
172752204,27,Horizontal Bar Chart,70.0,78.2,3.1
172752204,28,Tree Chart,33.0,33.8,0.0
172752204,29,Pie Chart,10.0,10.5,0.0
172752204,30,Tree Chart,28.0,51.4,4.6
172752204,31,Horizontal Bar Chart,80.0,76.7,1.8
172752204,32,Pie Chart,20.0,27.5,2.9
172752204,33,Tree Chart,90.0,90.0,0.0
172752204,34,Horizontal Bar Chart,90.0,87.3,1.5
172752204,35,Pie Chart,50.0,41.9,3.0
172752204,36,Pie Chart,45.0,31.6,3.8
172752204,37,Tree Chart,100.0,90.6,3.2
172752204,38,Pie Chart,50.0,50.6,0.0
172752204,39,Horizontal Bar Chart,45.0,45.0,0.0
172752204,40,Pie Chart,50.0,34.0,4.0
172752204,41,Pie Chart,65.0,61.0,2.0
172752204,42,Horizontal Bar Chart,33.0,38.0,2.4
172752204,43,Tree Chart,35.0,35.7,0.0
172752204,44,Pie Chart,50.0,54.2,2.1
172752204,45,Tree Chart,40.0,40.0,0.0
172752204,46,Pie Chart,50.0,51.5,0.7
172752204,47,Horizontal Bar Chart,90.0,95.7,2.5
172752204,48,Pie Chart,50.0,53.9,2.0
172752204,49,Pie Chart,33.0,29.6,1.8
172752204,50,Tree Chart,100.0,86.5,3.8
172752204,51,Horizontal Bar Chart,80.0,78.7,0.5
172752204,52,Horizontal Bar Chart,20.0,19.1,0.0
172752204,53,Horizontal Bar Chart,95.0,93.8,0.5
172752204,54,Tree Chart,50.0,62.5,3.7
172752204,55,Horizontal Bar Chart,50.0,47.3,1.5
172752204,56,Horizontal Bar Chart,35.0,27.8,2.9
172752204,57,Horizontal Bar Chart,40.0,44.7,2.3
172752204,58,Pie Chart,60.0,70.3,3.4
172752204,59,Horizontal Bar Chart,33.0,33.3,0.0
172752204,60,Pie Chart,70.0,79.3,3.2
