userid,No.,plottype,userinput,act_percent,accuracy
105521630,1,Horizontal Bar Chart,45.0,39.1,2.6
105521630,2,Tree Chart,55.0,83.3,4.8
105521630,3,Horizontal Bar Chart,25.0,24.7,0.0
105521630,4,Horizontal Bar Chart,50.0,44.0,2.6
105521630,5,Horizontal Bar Chart,10.0,2.9,2.9
105521630,6,Horizontal Bar Chart,35.0,27.6,2.9
105521630,7,Pie Chart,100.0,90.3,3.3
105521630,8,Horizontal Bar Chart,15.0,13.7,0.5
105521630,9,Horizontal Bar Chart,65.0,60.5,2.2
105521630,10,Pie Chart,100.0,98.6,0.6
105521630,11,Tree Chart,80.0,77.8,1.2
105521630,12,Pie Chart,60.0,78.1,4.2
105521630,13,Tree Chart,25.0,23.2,0.9
105521630,14,Tree Chart,50.0,51.3,0.5
105521630,15,Pie Chart,30.0,28.6,0.6
105521630,16,Pie Chart,50.0,43.1,2.8
105521630,17,Horizontal Bar Chart,85.0,85.7,0.0
105521630,18,Pie Chart,50.0,57.1,2.9
105521630,19,Horizontal Bar Chart,45.0,46.7,0.8
105521630,20,Horizontal Bar Chart,45.0,35.7,3.2
105521630,21,Tree Chart,3.0,2.1,0.1
105521630,22,Tree Chart,5.0,4.1,0.1
105521630,23,Horizontal Bar Chart,80.0,86.4,2.7
105521630,24,Horizontal Bar Chart,50.0,41.2,3.2
105521630,25,Pie Chart,50.0,51.6,0.8
105521630,26,Pie Chart,50.0,52.0,1.1
105521630,27,Pie Chart,10.0,5.6,2.2
105521630,28,Pie Chart,50.0,55.2,2.4
105521630,29,Tree Chart,34.0,50.0,4.0
105521630,30,Horizontal Bar Chart,15.0,9.1,2.6
105521630,31,Pie Chart,90.0,90.2,0.0
105521630,32,Tree Chart,20.0,22.8,1.6
105521630,33,Horizontal Bar Chart,30.0,33.0,1.6
105521630,34,Horizontal Bar Chart,60.0,68.2,3.1
105521630,35,Horizontal Bar Chart,75.0,74.5,0.0
105521630,36,Pie Chart,30.0,53.1,4.5
105521630,37,Pie Chart,100.0,88.9,3.5
105521630,38,Tree Chart,25.0,20.9,2.1
105521630,39,Pie Chart,5.0,1.0,2.0
105521630,40,Pie Chart,60.0,61.1,0.2
105521630,41,Tree Chart,25.0,30.1,2.4
105521630,42,Pie Chart,60.0,81.0,4.4
105521630,43,Tree Chart,70.0,72.7,1.5
105521630,44,Horizontal Bar Chart,50.0,41.6,3.1
105521630,45,Pie Chart,70.0,62.8,2.9
105521630,46,Horizontal Bar Chart,34.0,33.3,0.0
105521630,47,Tree Chart,90.0,90.6,0.0
105521630,48,Pie Chart,30.0,23.4,2.7
105521630,49,Tree Chart,100.0,82.1,4.2
105521630,50,Tree Chart,35.0,41.2,2.7
105521630,51,Tree Chart,8.0,9.4,0.6
105521630,52,Pie Chart,25.0,31.5,2.7
105521630,53,Horizontal Bar Chart,15.0,13.3,0.9
105521630,54,Tree Chart,25.0,27.3,1.3
105521630,55,Horizontal Bar Chart,10.0,5.4,2.2
105521630,56,Pie Chart,5.0,2.1,1.6
105521630,57,Pie Chart,35.0,61.8,4.7
105521630,58,Horizontal Bar Chart,50.0,38.1,3.6
105521630,59,Tree Chart,50.0,56.0,2.6
105521630,60,Tree Chart,23.0,27.0,2.1
