userid,No.,plottype,userinput,act_percent,accuracy
134828673,1,Pie Chart,80.0,65.4,3.9
134828673,2,Pie Chart,25.0,30.9,2.6
134828673,3,Horizontal Bar Chart,50.0,97.7,5.6
134828673,4,Pie Chart,80.0,93.2,3.7
134828673,5,Tree Chart,70.0,72.5,1.4
134828673,6,Pie Chart,80.0,84.3,2.2
134828673,7,Pie Chart,25.0,36.0,3.5
134828673,8,Horizontal Bar Chart,10.0,6.0,2.0
134828673,9,Tree Chart,100.0,89.0,3.5
134828673,10,Pie Chart,30.0,43.7,3.8
134828673,11,Tree Chart,90.0,87.2,1.5
134828673,12,Horizontal Bar Chart,25.0,21.9,1.7
134828673,13,Pie Chart,30.0,63.0,5.0
134828673,14,Pie Chart,5.0,2.0,1.6
134828673,15,Tree Chart,50.0,57.4,2.9
134828673,16,Pie Chart,20.0,30.2,3.4
134828673,17,Tree Chart,80.0,88.3,3.1
134828673,18,Pie Chart,70.0,89.9,4.3
134828673,19,Pie Chart,80.0,85.4,2.5
134828673,20,Pie Chart,20.0,28.9,3.2
134828673,21,Horizontal Bar Chart,50.0,44.6,2.5
134828673,22,Horizontal Bar Chart,70.0,66.7,1.8
134828673,23,Tree Chart,70.0,82.3,3.6
134828673,24,Horizontal Bar Chart,20.0,18.5,0.7
134828673,25,Tree Chart,100.0,71.1,4.9
134828673,26,Pie Chart,90.0,80.0,3.3
134828673,27,Tree Chart,17.0,13.4,1.9
134828673,28,Horizontal Bar Chart,10.0,20.0,3.3
134828673,29,Horizontal Bar Chart,50.0,40.0,3.3
134828673,30,Horizontal Bar Chart,30.0,26.0,2.0
134828673,31,Horizontal Bar Chart,35.0,30.6,2.2
134828673,32,Tree Chart,90.0,90.5,0.0
134828673,33,Horizontal Bar Chart,87.0,86.2,0.0
134828673,34,Tree Chart,85.0,78.8,2.7
134828673,35,Horizontal Bar Chart,90.0,88.4,0.8
134828673,36,Tree Chart,35.0,38.1,1.7
134828673,37,Tree Chart,20.0,25.3,2.4
134828673,38,Pie Chart,60.0,66.1,2.6
134828673,39,Tree Chart,40.0,39.1,0.1
134828673,40,Tree Chart,70.0,90.6,4.4
134828673,41,Tree Chart,90.0,73.3,4.1
134828673,42,Tree Chart,75.0,42.7,5.0
134828673,43,Pie Chart,10.0,6.2,2.0
134828673,44,Tree Chart,90.0,100.0,3.3
134828673,45,Horizontal Bar Chart,50.0,40.4,3.3
134828673,46,Tree Chart,45.0,44.7,0.0
134828673,47,Horizontal Bar Chart,80.0,89.8,3.3
134828673,48,Pie Chart,60.0,80.0,4.3
134828673,49,Pie Chart,20.0,20.0,0.0
134828673,50,Tree Chart,10.0,13.1,1.7
134828673,51,Horizontal Bar Chart,85.0,78.7,2.7
134828673,52,Horizontal Bar Chart,15.0,25.0,3.3
134828673,53,Pie Chart,15.0,15.2,0.0
134828673,54,Horizontal Bar Chart,80.0,62.5,4.1
134828673,55,Horizontal Bar Chart,80.0,63.8,4.0
134828673,56,Horizontal Bar Chart,18.0,22.9,2.3
134828673,57,Pie Chart,55.0,58.6,1.9
134828673,58,Tree Chart,90.0,88.4,0.8
134828673,59,Pie Chart,20.0,27.6,3.0
134828673,60,Horizontal Bar Chart,50.0,54.5,2.2
