userid,No.,plottype,userinput,act_percent,accuracy
214157841,1,Tree Chart,87.0,82.1,2.3
214157841,2,Horizontal Bar Chart,92.0,97.8,2.6
214157841,3,Pie Chart,33.0,61.8,4.9
214157841,4,Horizontal Bar Chart,25.0,30.4,2.5
214157841,5,Pie Chart,13.0,20.4,2.9
214157841,6,Pie Chart,20.0,38.4,4.2
214157841,7,Tree Chart,47.0,43.5,1.8
214157841,8,Horizontal Bar Chart,73.0,78.6,2.5
214157841,9,Horizontal Bar Chart,13.0,10.9,1.2
214157841,10,Tree Chart,67.0,80.9,3.8
214157841,11,Tree Chart,36.0,32.9,1.7
214157841,12,Tree Chart,16.0,13.6,1.3
214157841,13,Horizontal Bar Chart,18.0,19.7,0.8
214157841,14,Horizontal Bar Chart,55.0,54.5,0.0
214157841,15,Pie Chart,25.0,36.2,3.5
214157841,16,Horizontal Bar Chart,55.0,55.0,0.0
214157841,17,Tree Chart,20.0,32.1,3.6
214157841,18,Horizontal Bar Chart,45.0,42.6,1.3
214157841,19,Tree Chart,100.0,92.2,3.0
214157841,20,Tree Chart,100.0,91.4,3.1
214157841,21,Horizontal Bar Chart,20.0,18.2,1.0
214157841,22,Tree Chart,80.0,71.6,3.1
214157841,23,Pie Chart,2.0,1.3,0.0
214157841,24,Pie Chart,15.0,27.0,3.6
214157841,25,Pie Chart,20.0,26.4,2.7
214157841,26,Horizontal Bar Chart,80.0,77.2,1.6
214157841,27,Tree Chart,70.0,64.3,2.5
214157841,28,Tree Chart,10.0,7.0,1.7
214157841,29,Horizontal Bar Chart,10.0,8.9,0.3
214157841,30,Tree Chart,90.0,85.5,2.2
214157841,31,Pie Chart,35.0,39.6,2.2
214157841,32,Horizontal Bar Chart,85.0,75.0,3.3
214157841,33,Pie Chart,35.0,46.3,3.5
214157841,34,Horizontal Bar Chart,50.0,53.8,2.0
214157841,35,Pie Chart,23.0,27.9,2.3
214157841,36,Tree Chart,3.0,1.4,0.8
214157841,37,Pie Chart,42.0,60.2,4.2
214157841,38,Tree Chart,12.0,11.8,0.0
214157841,39,Pie Chart,2.0,1.1,0.1
214157841,40,Horizontal Bar Chart,21.0,27.9,2.8
214157841,41,Pie Chart,87.0,92.3,2.4
214157841,42,Horizontal Bar Chart,71.0,80.8,3.3
214157841,43,Tree Chart,83.0,78.0,2.3
214157841,44,Horizontal Bar Chart,37.0,34.4,1.4
214157841,45,Tree Chart,71.0,97.6,4.7
214157841,46,Tree Chart,91.0,96.8,2.6
214157841,47,Horizontal Bar Chart,20.0,18.0,1.1
214157841,48,Tree Chart,36.0,65.7,4.9
214157841,49,Pie Chart,88.0,82.6,2.5
214157841,50,Pie Chart,92.0,93.0,0.2
214157841,51,Tree Chart,73.0,66.7,2.7
214157841,52,Horizontal Bar Chart,87.0,92.2,2.4
214157841,53,Pie Chart,79.0,92.0,3.7
214157841,54,Horizontal Bar Chart,75.0,76.1,0.2
214157841,55,Pie Chart,92.0,93.4,0.6
214157841,56,Pie Chart,88.0,60.0,4.8
214157841,57,Tree Chart,71.0,80.8,3.3
214157841,58,Pie Chart,21.0,13.3,3.0
214157841,59,Pie Chart,37.0,56.8,4.3
214157841,60,Tree Chart,49.0,57.3,3.1
