userid,No.,plottype,userinput,act_percent,accuracy
173446382,1,Tree Chart,70.0,89.4,4.3
173446382,2,Tree Chart,30.0,39.6,3.3
173446382,3,Pie Chart,50.0,58.7,3.1
173446382,4,Pie Chart,80.0,77.0,1.6
173446382,5,Tree Chart,10.0,4.3,2.5
173446382,6,Horizontal Bar Chart,50.0,47.8,1.2
173446382,7,Tree Chart,70.0,67.7,1.3
173446382,8,Horizontal Bar Chart,15.0,8.6,2.7
173446382,9,Horizontal Bar Chart,30.0,21.1,3.2
173446382,10,Horizontal Bar Chart,40.0,38.0,1.1
173446382,11,Pie Chart,90.0,80.0,3.3
173446382,12,Pie Chart,20.0,18.0,1.1
173446382,13,Pie Chart,20.0,39.7,4.3
173446382,14,Pie Chart,40.0,35.1,2.3
173446382,15,Pie Chart,30.0,44.3,3.9
173446382,16,Horizontal Bar Chart,70.0,72.1,1.1
173446382,17,Horizontal Bar Chart,50.0,51.0,0.2
173446382,18,Horizontal Bar Chart,80.0,75.3,2.3
173446382,19,Pie Chart,10.0,12.7,1.5
173446382,20,Horizontal Bar Chart,80.0,81.7,0.8
173446382,21,Horizontal Bar Chart,5.0,3.3,0.9
173446382,22,Pie Chart,100.0,98.0,1.1
173446382,23,Pie Chart,10.0,14.6,2.2
173446382,24,Tree Chart,90.0,92.0,1.1
173446382,25,Pie Chart,70.0,61.8,3.1
173446382,26,Tree Chart,20.0,31.0,3.5
173446382,27,Horizontal Bar Chart,3.0,1.0,1.1
173446382,28,Pie Chart,20.0,35.6,4.0
173446382,29,Horizontal Bar Chart,10.0,4.3,2.5
173446382,30,Tree Chart,5.0,7.0,1.1
173446382,31,Pie Chart,70.0,68.8,0.4
173446382,32,Tree Chart,25.0,33.3,3.1
173446382,33,Horizontal Bar Chart,40.0,28.9,3.5
173446382,34,Tree Chart,90.0,91.4,0.6
173446382,35,Pie Chart,50.0,70.4,4.4
173446382,36,Pie Chart,40.0,43.4,1.8
173446382,37,Pie Chart,40.0,40.7,0.0
173446382,38,Horizontal Bar Chart,60.0,56.6,1.8
173446382,39,Horizontal Bar Chart,90.0,87.1,1.6
173446382,40,Tree Chart,100.0,100.0,0.0
173446382,41,Tree Chart,20.0,22.9,1.6
173446382,42,Tree Chart,40.0,83.3,5.4
173446382,43,Pie Chart,100.0,96.8,1.7
173446382,44,Pie Chart,90.0,65.1,4.6
173446382,45,Tree Chart,90.0,86.2,2.0
173446382,46,Horizontal Bar Chart,20.0,22.8,1.6
173446382,47,Horizontal Bar Chart,50.0,50.0,0.0
173446382,48,Tree Chart,20.0,28.2,3.1
173446382,49,Pie Chart,90.0,90.0,0.0
173446382,50,Horizontal Bar Chart,40.0,38.6,0.6
173446382,51,Tree Chart,15.0,20.7,2.5
173446382,52,Horizontal Bar Chart,25.0,22.0,1.7
173446382,53,Horizontal Bar Chart,30.0,25.0,2.4
173446382,54,Tree Chart,80.0,69.1,3.5
173446382,55,Horizontal Bar Chart,90.0,87.0,1.6
173446382,56,Tree Chart,100.0,100.0,0.0
173446382,57,Horizontal Bar Chart,60.0,55.3,2.3
173446382,58,Pie Chart,25.0,31.0,2.6
173446382,59,Tree Chart,20.0,21.0,0.2
173446382,60,Tree Chart,20.0,25.3,2.4
