userid,No.,plottype,userinput,act_percent,accuracy
17483844,1,Tree Chart,60.0,78.6,4.2
17483844,2,Pie Chart,80.0,74.3,2.5
17483844,3,Horizontal Bar Chart,5.0,2.3,1.5
17483844,4,Pie Chart,10.0,12.5,1.4
17483844,5,Pie Chart,90.0,95.5,2.5
17483844,6,Tree Chart,80.0,59.1,4.4
17483844,7,Pie Chart,60.0,46.3,3.8
17483844,8,Tree Chart,78.0,73.4,2.2
17483844,9,Tree Chart,88.0,97.5,3.3
17483844,10,Tree Chart,65.0,76.7,3.6
17483844,11,Pie Chart,89.0,71.9,4.1
17483844,12,Tree Chart,5.0,3.6,0.6
17483844,13,Pie Chart,40.0,57.1,4.1
17483844,14,Horizontal Bar Chart,71.0,80.0,3.2
17483844,15,Horizontal Bar Chart,89.0,94.4,2.5
17483844,16,Pie Chart,33.0,25.4,3.0
17483844,17,Tree Chart,85.0,95.6,3.4
17483844,18,Horizontal Bar Chart,40.0,39.4,0.0
17483844,19,Pie Chart,85.0,97.5,3.7
17483844,20,Horizontal Bar Chart,25.0,22.7,1.3
17483844,21,Horizontal Bar Chart,19.0,17.0,1.1
17483844,22,Tree Chart,30.0,35.9,2.6
17483844,23,Tree Chart,26.0,25.0,0.2
17483844,24,Pie Chart,73.0,80.6,3.0
17483844,25,Horizontal Bar Chart,78.0,76.9,0.3
17483844,26,Horizontal Bar Chart,54.0,54.4,0.0
17483844,27,Tree Chart,29.0,23.2,2.6
17483844,28,Pie Chart,63.0,82.1,4.3
17483844,29,Horizontal Bar Chart,33.0,33.3,0.0
17483844,30,Horizontal Bar Chart,33.0,40.0,2.8
17483844,31,Pie Chart,18.0,15.0,1.6
17483844,32,Tree Chart,55.0,60.9,2.6
17483844,33,Tree Chart,4.0,1.9,1.1
17483844,34,Tree Chart,15.0,22.2,2.9
17483844,35,Pie Chart,43.0,67.0,4.6
17483844,36,Horizontal Bar Chart,37.0,34.8,1.2
17483844,37,Pie Chart,14.0,11.6,1.3
17483844,38,Tree Chart,23.0,20.4,1.4
17483844,39,Horizontal Bar Chart,99.0,98.9,0.0
17483844,40,Pie Chart,77.0,62.2,3.9
17483844,41,Horizontal Bar Chart,69.0,64.3,2.3
17483844,42,Pie Chart,4.0,2.9,0.3
17483844,43,Horizontal Bar Chart,17.0,15.3,0.9
17483844,44,Pie Chart,38.0,60.0,4.5
17483844,45,Horizontal Bar Chart,43.0,44.0,0.2
17483844,46,Tree Chart,42.0,56.2,3.8
17483844,47,Tree Chart,76.0,74.6,0.6
17483844,48,Pie Chart,89.0,91.4,1.4
17483844,49,Pie Chart,80.0,80.2,0.0
17483844,50,Tree Chart,66.0,55.1,3.5
17483844,51,Tree Chart,52.0,58.9,2.8
17483844,52,Horizontal Bar Chart,32.0,30.0,1.1
17483844,53,Tree Chart,75.0,96.7,4.4
17483844,54,Tree Chart,25.0,31.0,2.6
17483844,55,Horizontal Bar Chart,83.0,94.5,3.5
17483844,56,Horizontal Bar Chart,79.0,71.0,3.0
17483844,57,Horizontal Bar Chart,5.0,1.1,2.0
17483844,58,Pie Chart,87.0,70.2,4.1
17483844,59,Tree Chart,69.0,67.8,0.4
17483844,60,Pie Chart,28.0,34.7,2.8
