userid,No.,plottype,userinput,act_percent,accuracy
212520797,1,Horizontal Bar Chart,65.0,57.4,2.9
212520797,2,Horizontal Bar Chart,45.0,43.0,1.1
212520797,3,Tree Chart,70.0,80.7,3.4
212520797,4,Tree Chart,25.0,25.6,0.0
212520797,5,Pie Chart,30.0,39.3,3.2
212520797,6,Pie Chart,70.0,75.7,2.5
212520797,7,Pie Chart,10.0,10.4,0.0
212520797,8,Horizontal Bar Chart,80.0,78.2,0.9
212520797,9,Pie Chart,80.0,88.5,3.1
212520797,10,Tree Chart,35.0,38.1,1.7
212520797,11,Pie Chart,23.0,18.8,2.1
212520797,12,Horizontal Bar Chart,8.0,11.5,1.9
212520797,13,Tree Chart,90.0,62.8,4.8
212520797,14,Tree Chart,80.0,78.3,0.9
212520797,15,Horizontal Bar Chart,95.0,93.7,0.5
212520797,16,Tree Chart,80.0,69.6,3.4
212520797,17,Pie Chart,90.0,86.7,1.8
212520797,18,Tree Chart,10.0,13.1,1.7
212520797,19,Horizontal Bar Chart,35.0,28.0,2.8
212520797,20,Horizontal Bar Chart,80.0,84.9,2.3
212520797,21,Horizontal Bar Chart,10.0,10.1,0.0
212520797,22,Pie Chart,90.0,89.1,0.1
212520797,23,Horizontal Bar Chart,80.0,80.9,0.0
212520797,24,Horizontal Bar Chart,10.0,17.0,2.8
212520797,25,Tree Chart,80.0,72.7,2.9
212520797,26,Pie Chart,50.0,69.2,4.3
212520797,27,Pie Chart,55.0,64.4,3.2
212520797,28,Pie Chart,45.0,52.3,2.9
212520797,29,Horizontal Bar Chart,35.0,37.0,1.1
212520797,30,Tree Chart,10.0,15.3,2.4
212520797,31,Pie Chart,90.0,90.2,0.0
212520797,32,Tree Chart,50.0,60.3,3.4
212520797,33,Horizontal Bar Chart,100.0,97.8,1.2
212520797,34,Pie Chart,80.0,81.3,0.5
212520797,35,Pie Chart,30.0,37.7,3.0
212520797,36,Tree Chart,20.0,22.2,1.2
212520797,37,Pie Chart,95.0,99.0,2.0
212520797,38,Tree Chart,90.0,89.7,0.0
212520797,39,Tree Chart,8.0,6.0,1.1
212520797,40,Pie Chart,30.0,30.8,0.0
212520797,41,Horizontal Bar Chart,25.0,24.7,0.0
212520797,42,Tree Chart,60.0,54.7,2.4
212520797,43,Pie Chart,44.0,39.6,2.2
212520797,44,Tree Chart,80.0,76.7,1.8
212520797,45,Horizontal Bar Chart,95.0,97.0,1.1
212520797,46,Pie Chart,25.0,30.6,2.5
212520797,47,Pie Chart,98.0,92.9,2.4
212520797,48,Horizontal Bar Chart,80.0,82.1,1.2
212520797,49,Tree Chart,60.0,45.5,3.9
212520797,50,Horizontal Bar Chart,60.0,60.2,0.0
212520797,51,Horizontal Bar Chart,65.0,65.4,0.0
212520797,52,Tree Chart,65.0,69.4,2.2
212520797,53,Horizontal Bar Chart,15.0,21.5,2.7
212520797,54,Pie Chart,45.0,58.1,3.7
212520797,55,Horizontal Bar Chart,40.0,34.4,2.5
212520797,56,Horizontal Bar Chart,70.0,65.6,2.2
212520797,57,Tree Chart,10.0,12.1,1.2
212520797,58,Tree Chart,70.0,67.7,1.3
212520797,59,Pie Chart,85.0,80.5,2.2
212520797,60,Pie Chart,40.0,38.6,0.6
