userid,No.,plottype,userinput,act_percent,accuracy
17233679,1,Horizontal Bar Chart,70.0,65.7,2.2
17233679,2,Horizontal Bar Chart,40.0,40.7,0.0
17233679,3,Tree Chart,5.0,8.2,1.7
17233679,4,Pie Chart,10.0,21.3,3.5
17233679,5,Horizontal Bar Chart,50.0,61.5,3.5
17233679,6,Pie Chart,20.0,42.3,4.5
17233679,7,Horizontal Bar Chart,20.0,37.1,4.1
17233679,8,Tree Chart,60.0,63.4,1.8
17233679,9,Horizontal Bar Chart,5.0,5.9,0.0
17233679,10,Pie Chart,20.0,42.1,4.5
17233679,11,Horizontal Bar Chart,70.0,56.0,3.8
17233679,12,Horizontal Bar Chart,45.0,47.5,1.4
17233679,13,Horizontal Bar Chart,5.0,4.8,0.0
17233679,14,Tree Chart,30.0,71.8,5.4
17233679,15,Tree Chart,20.0,32.0,3.6
17233679,16,Pie Chart,30.0,45.2,3.9
17233679,17,Pie Chart,10.0,11.1,0.3
17233679,18,Tree Chart,10.0,17.8,3.0
17233679,19,Pie Chart,80.0,92.1,3.6
17233679,20,Pie Chart,10.0,16.0,2.6
17233679,21,Pie Chart,100.0,92.7,2.9
17233679,22,Horizontal Bar Chart,20.0,30.8,3.4
17233679,23,Tree Chart,15.0,26.8,3.6
17233679,24,Tree Chart,30.0,58.3,4.8
17233679,25,Pie Chart,80.0,80.6,0.0
17233679,26,Tree Chart,45.0,68.5,4.6
17233679,27,Pie Chart,1.0,16.7,4.0
17233679,28,Horizontal Bar Chart,40.0,35.7,2.1
17233679,29,Horizontal Bar Chart,20.0,21.7,0.9
17233679,30,Pie Chart,90.0,88.1,1.0
17233679,31,Pie Chart,1.0,1.5,0.0
17233679,32,Tree Chart,80.0,79.3,0.0
17233679,33,Horizontal Bar Chart,50.0,46.8,1.7
17233679,34,Pie Chart,90.0,77.0,3.7
17233679,35,Tree Chart,20.0,43.9,4.6
17233679,36,Pie Chart,10.0,23.8,3.8
17233679,37,Horizontal Bar Chart,40.0,33.7,2.7
17233679,38,Pie Chart,15.0,32.9,4.2
17233679,39,Horizontal Bar Chart,20.0,20.0,0.0
17233679,40,Tree Chart,60.0,59.1,0.0
17233679,41,Horizontal Bar Chart,50.0,58.5,3.1
17233679,42,Horizontal Bar Chart,30.0,34.7,2.3
17233679,43,Tree Chart,10.0,27.6,4.1
17233679,44,Horizontal Bar Chart,80.0,85.7,2.5
17233679,45,Tree Chart,3.0,4.8,0.9
17233679,46,Tree Chart,50.0,56.8,2.8
17233679,47,Tree Chart,80.0,70.0,3.3
17233679,48,Pie Chart,80.0,72.1,3.0
17233679,49,Tree Chart,70.0,70.9,0.0
17233679,50,Tree Chart,90.0,93.6,1.9
17233679,51,Tree Chart,2.0,1.2,0.0
17233679,52,Horizontal Bar Chart,90.0,55.6,5.1
17233679,53,Pie Chart,40.0,58.8,4.2
17233679,54,Pie Chart,100.0,95.3,2.3
17233679,55,Pie Chart,20.0,33.8,3.8
17233679,56,Pie Chart,99.0,98.6,0.0
17233679,57,Tree Chart,80.0,83.3,1.8
17233679,58,Tree Chart,80.0,77.8,1.2
17233679,59,Horizontal Bar Chart,20.0,30.3,3.4
17233679,60,Pie Chart,80.0,57.7,4.5
